Country,Life Expectancy,Adult Mortality,Infant Deaths,Population,Life Expectancy at Birth,Infant Mortality Rate,Medical Doctors,Under-5 Mortality Rate,GDP (billions of US$),GDP per Capita (US$),Current Health Expenditure (% of GDP),Death by Meningitis,Death by Neoplasms,'Death by Fire, Heat, and Hot Substances',Death by Malaria,Death by Drowning,Death by Interpersonal Violence,Death by HIV/AIDS,Death by Drug Use,Death by Tuberculosis,Death by Road Injuries,Death by Maternal Disorders,Death by Lower Respiratory Infections,Death by Neonatal Disorders,Death by Alcohol Use,Death by Forces of Nature,Death by Diarrheal Diseases
Timor-Leste,68.3,152,2,124977,68.87,43.24 [30.19-60.58],6.95,50.76 [34.49-73.94],1.594,2912.736,7.67
Togo,59.9,287,13,741682,61.92,,0.49,,5.641,1885.301,4.96,679,3235,148,6365,156,505,5776,14,2268,1387,561,4460,5040,46,0,7017
Tonga,73.5,133,0,16364,0.437,5074.688,4.68,6,123,3,0,6,2,2,0,5,10,2,35,14,1,0,3
TrinidadandTobago,71.2,17,0,13692
Tunisia,75.3,1,3,11273661,76.7,,13.11,,45.779,10735.106,6.62,89,8989,215,0,140,84,147,140,125,2532,70,1750,1288,32,0,126
Turkey,75.8,16,15,78271472,77.79,,17.99,,864.071,25691.067,4.12,386,96409,423,0,766,1599,198,298,935,7911,325,13117,9092,220,18,763
Turkmenistan,66.3,215,6,5565284,44.06,16849.51,6.3,58,3293,116,0,133,207,111,50,488,279,64,1504,1403,153,1,83
Uganda,62.3,291,66,414487,64.47,,0.95,,27.639,2405.011,5.11,4953,19079,670,22016,910,2228,28885,38,15180,5418,2234,19016,34358,231,0,13505
Ukraine,71.3,195,4,4515429,90.477,10224.946,7.78,491,100754,2312,0,3756,5240,6926,1532,4700,7803,98,9188,1807,7349,10,92
Uruguay,77,116,0,3431552,57.874,21614.465,8.29,14,9645,69,0,76,253,183,14,63,611,12,1539,169,111,2,176
Uzbekistan,69.4,184,15,312989,85.662,6739.703,4.99,184,20098,693,0,1711,909,593,157,2647,4993,232,12435,6533,120,2,184
Vanuatu,72,13,0,26463,0.744,2481.245,4.32,6,198,4,1,31,3,14,1,40,62,8,108,75,3,11,67
